order_id,customer_name,email,product,category,quantity,unit_price,total_price,order_date,ship_date,region,payment_method
ORD-1180,Amir Wilson,amir.wilson248@yahoo.com,Phone Case,Accessories,5.0,15.76,78.8,2024-08-26,2024-09-01,South,Cash on Delivery
ORD-1184,James Jones,james.jones713@hotmail.com,Portable Charger,Electronics,3.0,31.86,95.58,2024-01-25,2024-02-06,West,Credit Card
ORD-1114,John Mansour,john.mansour471@outlook.com,Notebook Pack (5),Office,1.0,14.03,14.03,2024-06-29,2024-07-04,Central,PayPal
ORD-1169,Hassan Taylor,hassan.taylor135@company.co,Phone Case,Accessories,7.0,14.88,104.16,2024-03-11,2024-03-25,Central,PayPal
ORD-1127,Sophie Ahmed,sophie.ahmed907@hotmail.com,Standing Desk,Furniture,2.0,586.7,1173.4,2024-08-27,2024-09-03,EAST,Credit Card
ORD-1071,James Khalil,james.khalil871@company.co,Screen Protector,Accessories,2.0,10.58,21.16,2024-08-07,2024-08-20,North,Bank Transfer
ORD-1055,Omar Ibrahim,omar.ibrahim915@gmail.com,"27"" Monitor",Electronics,7.0,330.31,1321.8,2024-11-08,2024-11-20,Central,Cash on Delivery
ORD-1166,David Ali,david.ali318@company.co,Standing Desk,Furniture,7.0,565.77,1321.8,2024-05-07,2024-05-21,South,Credit Card
ORD-1026,Ali Jones,ali.jones256@gmail.com,Mechanical Keyboard,Electronics,8.0,95.53,764.24,2024-11-28,2024-12-07,North,Credit Card
ORD-1081,Sophie Garcia,sophie.garcia284@company.co,"27"" Monitor",Electronics,9.0,356.77,1321.8,2024-02-09,2024-02-23,South,Bank Transfer
ORD-1002,Dina Hassan,dina.hassan31@gmail.com,Standing Desk,Furniture,4.0,520.58,1321.8,2024-08-21,2024-08-22,Central,PayPal
ORD-1028,Sara Salem,sara.salem389@gmail.com,Cable Organizer,Accessories,7.0,8.09,56.63,2024-10-31,2024-11-13,West,Bank Transfer
ORD-1060,David Ahmed,david.ahmed724@yahoo.com,Desk Lamp,Office,2.0,22.12,44.24,2024-05-08,2024-05-17,West,Cash on Delivery
ORD-1024,Fatima Mohamed,fatima.mohamed675@hotmail.com,"27"" Monitor",Electronics,6.0,344.64,1321.8,2024-06-30,2024-07-14,North,Credit Card
ORD-1021,Nour Farouk,nour.farouk66@outlook.com,USB-C Hub,Electronics,1.0,50.87,192.64,2024-03-30,2024-04-09,South,Credit Card
ORD-1121,Amir Mansour,amir.mansour851@yahoo.com,Ergonomic Chair,Furniture,5.0,324.83,1321.8,2024-07-06,2024-07-19,East,Bank Transfer
ORD-1040,Ahmed Mohamed,ahmed.mohamed78@yahoo.com,Ergonomic Chair,Furniture,9.0,272.15,1321.8,2024-05-23,2024-06-02,Central,PayPal
ORD-1056,Salma Farouk,salma.farouk940@gmail.com,Wireless Mouse,Electronics,8.0,24.08,192.64,2024-05-23,2024-07-10,Central,Bank Transfer
ORD-1073,Mona Jones,mona.jones725@yahoo.com,Desk Lamp,Office,7.0,21.04,147.28,2024-07-21,2024-08-01,  East  ,Cash on Delivery
ORD-1030,Hassan Hassan,hassan.hassan52@company.co,Screen Protector,Accessories,8.0,10.0,80.0,2024-11-27,2024-12-06,South,Credit Card
ORD-1115,Tarek Johnson,tarek.johnson602@outlook.com,USB-C Hub,Electronics,7.0,51.89,363.23,2024-06-26,2024-07-10,East,PayPal
ORD-1064,Tarek Ahmed,tarek.ahmed638@company.co,Portable Charger,Electronics,1.0,32.43,32.43,2024-08-17,2024-08-27,North,Credit Card
ORD-1001,Fatima Ibrahim,fatima.ibrahim760@outlook.com,Phone Case,Accessories,4.0,15.1,60.4,2024-10-13,2024-10-15,Central,Credit Card
ORD-1124,John Johnson,john.johnson111@yahoo.com,Portable Charger,Electronics,8.0,37.16,217.12,2024-12-09,2024-12-18,East,PayPal
ORD-1022,David Hassan,david.hassan235@gmail.com,USB-C Hub,Electronics,1.0,53.59,53.59,2024-01-28,2024-02-06,South,Bank Transfer
ORD-1109,Yasmin Williams,yasmin.williams666@gmail.com,Webcam HD,Electronics,6.0,64.22,385.32,2024-11-29,2024-12-08,West,Bank Transfer
ORD-1108,Mia Jones,mia.jones16@yahoo.com,Ergonomic Chair,Furniture,7.0,322.25,1321.8,2024-02-29,2024-03-02,West,Bank Transfer
ORD-1078,Ahmed Ali,ahmed.ali302@yahoo.com,Bluetooth Speaker,Electronics,6.0,41.52,290.64,2024-04-28,2024-05-09,Central,Bank Transfer
ORD-1167,Emma Brown,emma.brown521@outlook.com,Phone Case,Accessories,1.0,37.16,15.55,2024-03-11,2024-03-15,East,Cash on Delivery
ORD-1047,Fatima Taylor,fatima.taylor445@outlook.com,Wireless Mouse,Electronics,6.0,25.66,153.96,2024-07-17,2024-07-19,West,PayPal
ORD-1080,Nour Mohamed,nour.mohamed739@yahoo.com,Laptop Stand,Accessories,6.0,32.34,194.04,2024-07-27,2024-08-09,South,PayPal
ORD-1043,Dina Ibrahim,dina.ibrahim184@outlook.com,Cable Organizer,Accessories,7.0,9.0,63.0,2024-12-01,2024-12-13,South,Bank Transfer
ORD-1112,Sara Khalil,sara.khalil368@outlook.com,Bluetooth Speaker,Electronics,7.0,37.16,260.12,2024-07-25,2024-08-01,Central,PayPal
ORD-1120,Omar Ali,omar.ali932@outlook.com,Screen Protector,Accessories,6.0,10.48,62.88,2024-03-09,2024-03-13,South,Bank Transfer
ORD-1171,Nour Khalil,nour.khalil989@hotmail.com,Ergonomic Chair,Furniture,4.0,292.06,1168.24,2024-08-09,2024-08-17,West,Bank Transfer
ORD-1004,Dina Smith,dina.smith285@yahoo.com,Screen Protector,Accessories,4.0,10.9,43.6,2024-05-10,2024-05-12,North,Cash on Delivery
ORD-1075,Tarek Wilson,tarek.wilson625@hotmail.com,Bluetooth Speaker,Electronics,3110.0,36.22,1321.8,2024-11-26,2024-12-02,South,Cash on Delivery
ORD-1066,Hassan Williams,hassan.williams285@hotmail.com,Webcam HD,Electronics,5.0,64.01,320.05,2024-07-01,2024-07-02,Central,Credit Card
ORD-1128,Mona Nasser,mona.nasser455@hotmail.com,Screen Protector,Accessories,4.0,10.7,192.64,2024-02-08,2024-02-19,East,Bank Transfer
ORD-1136,Mohamed Smith,mohamed.smith623@yahoo.com,Cable Organizer,Accessories,2.0,7.86,15.72,2024-08-30,2024-09-10,Central,Bank Transfer
ORD-1009,Khaled Mansour,khaled.mansour948@company.co,Notebook Pack (5),Office,4.0,13.47,53.88,2024-11-23,2024-12-06,North,PayPal
ORD-1152,Khaled Brown,khaled.brown297@gmail.com,Standing Desk,Furniture,6.0,497.29,1321.8,2024-05-06,2024-05-09,Central,Cash on Delivery
ORD-1035,Ali Ahmed,ali.ahmed956@outlook.com,Ergonomic Chair,Furniture,2.0,322.75,645.5,2024-05-23,2024-05-28,South,Cash on Delivery
ORD-1013,Sara Mohamed,sara.mohamed157@yahoo.com,Bluetooth Speaker,Electronics,7.0,73506.48,1321.8,2024-05-29,2024-05-28, central ,Cash on Delivery
ORD-1182,Ava Garcia,ava.garcia45@hotmail.com,Desk Lamp,Office,6.0,37.16,128.34,2024-01-07,2024-01-13,North,Bank Transfer
ORD-1181,Emma Ali,emma.ali537@outlook.com,Mechanical Keyboard,Electronics,2.0,98.15,196.3,2024-07-30,2024-08-08,Central,Credit Card
ORD-1048,Sara Brown,sara.brown2@company.co,Laptop Stand,Accessories,9.0,36.31,326.79,2024-10-15,2024-10-27,South,Bank Transfer
ORD-1017,Hassan Garcia,hassan.garcia20@gmail.com,Standing Desk,Furniture,6.0,591.65,1321.8,2024-11-18,2024-12-01,East,PayPal
ORD-1097,James Williams,james.williams886@company.co,USB-C Hub,Electronics,1.0,51.57,51.57,2024-07-29,2024-08-06,West,Credit Card
ORD-1076,Mona Mansour,mona.mansour349@outlook.com,"27"" Monitor",Electronics,10.0,364.07,1321.8,2024-04-17,2024-04-26,North,PayPal
ORD-1150,Ahmed Garcia,ahmed.garcia765@hotmail.com,USB-C Hub,Electronics,3.0,46.28,138.84,2024-07-25,2024-04-26,South,Bank Transfer
ORD-1006,Hana Taylor,hana.taylor907@outlook.com,Ergonomic Chair,Furniture,10.0,281.53,1321.8,2024-01-28,2024-01-29,South,Bank Transfer
ORD-1163,Amir Taylor,amir.taylor163@outlook.com,Ergonomic Chair,Furniture,6.0,325.07,1321.8,2024-05-30,2024-06-06,East,Credit Card
ORD-1058,Ali Farouk,ali.farouk861@outlook.com,Notebook Pack (5),Office,9.0,12.95,116.55,2024-04-02,2024-04-07,West,Credit Card
ORD-1118,William Khalil,william.khalil795@yahoo.com,Portable Charger,Electronics,10.0,31.8,318.0,2024-04-02,2024-04-06,South,Bank Transfer
ORD-1190,Tarek Hassan,tarek.hassan745@outlook.com,Webcam HD,Electronics,10.0,65.97,659.7,2024-04-16,2024-04-27,North,Credit Card
ORD-1165,Mohamed Wilson,mohamed.wilson680@yahoo.com,Webcam HD,Electronics,6.0,57.71,192.64,2024-09-11,2024-09-23,West,PayPal
ORD-1052,Tarek Nasser,tarek.nasser524@hotmail.com,Notebook Pack (5),Office,3.0,13.4,40.2,2024-04-20,2024-04-29,Central,Bank Transfer
ORD-1194,Ali Farouk,ali.farouk984@gmail.com,Phone Case,Accessories,1.0,16.74,16.74,2024-07-12,2024-07-21,West,Credit Card
ORD-1102,Tarek Davis,tarek.davis149@hotmail.com,"27"" Monitor",Electronics,4.0,379.52,1321.8,2024-07-16,2024-07-28,South,Credit Card
ORD-1110,David Garcia,david.garcia894@company.co,Phone Case,Accessories,1.0,16.37,16.37,2024-04-01,2024-04-12,East,PayPal
ORD-1172,Khaled Miller,khaled.miller541@hotmail.com,Bluetooth Speaker,Electronics,3.0,42.52,127.56,2024-11-07,2024-11-17,South,Bank Transfer
